"Year","State","State ANSI","County","County ANSI","Value"
"2007","CALIFORNIA","06","CONTRA COSTA","013","35"
"2007","CALIFORNIA","06","MONTEREY","053","60"
"2007","CALIFORNIA","06","SAN LUIS OBISPO","079","48"
"2007","CALIFORNIA","06","LASSEN","035","0"
"2007","CALIFORNIA","06","MODOC","049","0"
"2007","CALIFORNIA","06","BUTTE","007","51.7"
"2007","CALIFORNIA","06","COLUSA","011","57.7"
"2007","CALIFORNIA","06","GLENN","021","68.1"
"2007","CALIFORNIA","06","SACRAMENTO","067","66.7"
"2007","CALIFORNIA","06","SOLANO","095","58"
"2007","CALIFORNIA","06","SUTTER","101","57.1"
"2007","CALIFORNIA","06","YOLO","113","50.8"
"2007","CALIFORNIA","06","FRESNO","019","70"
"2007","CALIFORNIA","06","KERN","029","74.7"
"2007","CALIFORNIA","06","KINGS","031","0"
"2007","CALIFORNIA","06","MADERA","039","76"
"2007","CALIFORNIA","06","MERCED","047","55"
"2007","CALIFORNIA","06","SAN JOAQUIN","077","55"
"2007","CALIFORNIA","06","STANISLAUS","099","60"
"2007","CALIFORNIA","06","TULARE","107","45.5"
"2007","CALIFORNIA","06","SISKIYOU","093","40.5"
"2007","CALIFORNIA","06","IMPERIAL","025","0"
"2007","CALIFORNIA","06","RIVERSIDE","065","20"
"2007","CALIFORNIA","06","SANTA BARBARA","083","80"
"2007","COLORADO","08","ADAMS","001","33.5"
"2007","COLORADO","08","ARAPAHOE","005","36.5"
"2007","COLORADO","08","CHEYENNE","017","34.5"
"2007","COLORADO","08","DENVER","031","22"
"2007","COLORADO","08","DOUGLAS","035","34.5"
"2007","COLORADO","08","EL PASO","041","34"
"2007","COLORADO","08","ELBERT","039","35"
"2007","COLORADO","08","KIOWA","061","44.5"
"2007","COLORADO","08","KIT CARSON","063","40.5"
"2007","COLORADO","08","LINCOLN","073","32"
"2007","COLORADO","08","PHILLIPS","095","42.5"
"2007","COLORADO","08","WASHINGTON","121","37"
"2007","COLORADO","08","YUMA","125","42.5"
"2007","COLORADO","08","BOULDER","013","16"
"2007","COLORADO","08","BROOMFIELD","014","23.5"
"2007","COLORADO","08","LARIMER","069","28.5"
"2007","COLORADO","08","LOGAN","075","32"
"2007","COLORADO","08","MORGAN","087","37"
"2007","COLORADO","08","SEDGWICK","115","39"
"2007","COLORADO","08","WELD","123","27"
"2007","COLORADO","08","MOFFAT","081","15.5"
"2007","COLORADO","08","RIO BLANCO","103","14"
"2007","COLORADO","08","ROUTT","107","23.5"
"2007","COLORADO","08","BACA","009","33"
"2007","COLORADO","08","BENT","011","28.5"
"2007","COLORADO","08","CROWLEY","025","22"
"2007","COLORADO","08","LAS ANIMAS","071","31.5"
"2007","COLORADO","08","OTERO","089","34"
"2007","COLORADO","08","PROWERS","099","41.5"
"2007","COLORADO","08","PUEBLO","101","39"
"2007","COLORADO","08","DOLORES","033","18.5"
"2007","COLORADO","08","GARFIELD","045","33.5"
"2007","COLORADO","08","LA PLATA","067","15"
"2007","COLORADO","08","MONTEZUMA","083","17.5"
"2007","COLORADO","08","SAN MIGUEL","113","45"
"2007","IDAHO","16","BANNOCK","005","23.7"
"2007","IDAHO","16","BEAR LAKE","007","14.1"
"2007","IDAHO","16","BINGHAM","011","20"
"2007","IDAHO","16","BONNEVILLE","019","19.1"
"2007","IDAHO","16","CARIBOU","029","21.1"
"2007","IDAHO","16","FRANKLIN","041","26.3"
"2007","IDAHO","16","FREMONT","043","24.9"
"2007","IDAHO","16","MADISON","065","24"
"2007","IDAHO","16","ONEIDA","071","23.7"
"2007","IDAHO","16","POWER","077","26.6"
"2007","IDAHO","16","TETON","081","17.5"
"2007","IDAHO","16","CLEARWATER","035","51.4"
"2007","IDAHO","16","IDAHO","049","58.6"
"2007","IDAHO","16","LATAH","057","65.5"
"2007","IDAHO","16","NEZ PERCE","069","60.1"
"2007","IDAHO","16","CASSIA","031","28.8"
"2007","IDAHO","16","MINIDOKA","067","25"
"2007","IDAHO","16","WASHINGTON","087","26.9"
"2007","KANSAS","20","BARTON","009","23"
"2007","KANSAS","20","DICKINSON","041","18"
"2007","KANSAS","20","ELLIS","051","32"
"2007","KANSAS","20","ELLSWORTH","053","19"
"2007","KANSAS","20","LINCOLN","105","26"
"2007","KANSAS","20","MARION","115","16"
"2007","KANSAS","20","MCPHERSON","113","13"
"2007","KANSAS","20","RICE","159","16"
"2007","KANSAS","20","RUSH","165","31"
"2007","KANSAS","20","RUSSELL","167","29"
"2007","KANSAS","20","SALINE","169","15"
"2007","KANSAS","20","ANDERSON","003","20"
"2007","KANSAS","20","CHASE","017","23"
"2007","KANSAS","20","COFFEY","031","28"
"2007","KANSAS","20","DOUGLAS","045","25"
"2007","KANSAS","20","FRANKLIN","059","20"
"2007","KANSAS","20","GEARY","061","21"
"2007","KANSAS","20","JOHNSON","091","27"
"2007","KANSAS","20","LINN","107","17"
"2007","KANSAS","20","LYON","111","17"
"2007","KANSAS","20","MIAMI","121","16"
"2007","KANSAS","20","MORRIS","127","17"
"2007","KANSAS","20","OSAGE","139","23"
"2007","KANSAS","20","SHAWNEE","177","23"
"2007","KANSAS","20","WABAUNSEE","197","18"
"2007","KANSAS","20","CLAY","027","28"
"2007","KANSAS","20","CLOUD","029","29"
"2007","KANSAS","20","JEWELL","089","34"
"2007","KANSAS","20","MITCHELL","123","34"
"2007","KANSAS","20","OSBORNE","141","34"
"2007","KANSAS","20","OTTAWA","143","23"
"2007","KANSAS","20","PHILLIPS","147","34"
"2007","KANSAS","20","REPUBLIC","157","30"
"2007","KANSAS","20","ROOKS","163","36"
"2007","KANSAS","20","SMITH","183","31"
"2007","KANSAS","20","WASHINGTON","201","31"
"2007","KANSAS","20","ATCHISON","005","25"
"2007","KANSAS","20","BROWN","013","36"
"2007","KANSAS","20","DONIPHAN","043","27"
"2007","KANSAS","20","JACKSON","085","23"
"2007","KANSAS","20","JEFFERSON","087","30"
"2007","KANSAS","20","LEAVENWORTH","103","21"
"2007","KANSAS","20","MARSHALL","117","28"
